사용자질문,추천결과,정답Intent,추천방법,추천근거,정답여부,
어떤 취항사가 있나요 터미널에,18,18,cnn,{},TRUE,
T1 취항사 뭔지 알려줘봐,18,18,cnn,{},TRUE,
터미널에 무슨 취항사가 일하니,18,18,cnn,{},TRUE,
제2여객터미널에는 무슨 항공 회사가 계약되있니?,18,18,cnn,{},TRUE,
제1여객엔 어떤 비행기회사가 등록되있어?,18,18,cnn,{},TRUE,
터미널에서 이용가능한 취항항공사 뭐뭐있어?,18,18,cnn,{},TRUE,
항공사 어떤 종류 있어? 제이터미널에,18,18,cnn,{},TRUE,
취항사가 다양하잖아 티원에는 뭐뭐있는지 알려줘,18,18,cnn,{},TRUE,
출국터미널에서 볼수있는 취항사알려줘요,18,18,cnn,{},TRUE,
어떤 터미널에 어떤항공사가 있는지 알려줘,18,18,cnn,{},TRUE,
항공사별로 터미널이 다른가?,18,18,cnn,{},TRUE,
대중교통 티켓판매소 알려줘,19,19,cnn,{},TRUE,
교통수단매표 어디서 사?,19,19,cnn,{},TRUE,
교통대중티켓팅 할래,242,19,none,{},FALSE,
대중교통 승차권 사는곳 어디야?,19,19,cnn,{},TRUE,
교통수단티켓 사려는데 어디로가?,19,19,cnn,{},TRUE,
매표할수잇는 장소 알려줘 교통,136,19,none,{},FALSE,
교통매표소 어디야?,19,19,cnn,{},TRUE,
어디서 교통표 구해?,19,19,cnn,{},TRUE,
교통편매표 어디서해?,19,19,cnn,{},TRUE,
교통수단 티켓 사는곳 알려줘,19,19,cnn,{},TRUE,
대중교통 표발권 어디서해?,19,19,cnn,{},TRUE,
교통표 발권기기 있는곳 알려줘,19,19,cnn,{},TRUE,
심야버스표 어디서사?,19,19,cnn,{},TRUE,
어디서 팔아? 케이티액스표,80,19,none,{},FALSE,
티원에서 심야버스 탑승권 구매하는 위치 보여줘,19,19,cnn,{},TRUE,
심야버스 탑승권 어디서 구매해,19,19,cnn,{},TRUE,
심야버스타려는데 어디가서 사지?,236,19,none,{},FALSE,
버스표예매할수있어?,19,19,cnn,{},TRUE,
미리버스표예매할수있어?,19,19,cnn,{},TRUE,
공항철도 매표 안내 부탁,19,19,cnn,{},TRUE,
ktx 매표 안내 부탁,19,19,cnn,{},TRUE,
심야버스 매표소 안내,19,19,cnn,{},TRUE,
KTX표사러어디로가야되?,19,19,cnn,{},TRUE,
심야버스표사는곳알려줘,19,19,cnn,{},TRUE,
제1여객터미널 버스 매표 안내좀 해줘,19,19,cnn,{},TRUE,
대중교통 매표소 안내해줘,19,19,cnn,{},TRUE,
대중교통 표 사는곳 어디?,19,19,cnn,{},TRUE,
토지사용료 지급을 공시한 배전설비 제거소송 관련 판결례 보여줘,20,20,cnn,{},TRUE,
부당이득금 지급을 명령한 전력공급장치 철거소송 단례 검색해줘,20,20,cnn,{},TRUE,
토지사용료 지급을 공시한 전력배분설비 제거소송 재판례 보기,20,20,cnn,{},TRUE,
배전설비 철거소송에서 부지 관련 판례 찾기,20,20,cnn,{},TRUE,
배전시설 철거소송 중 부지와 관련된 판례가 있나요?,20,20,cnn,{},TRUE,
배전장치 철거소송에서 부지 연관 판결 선례 검색해줘,20,20,cnn,{},TRUE,
배전설비 제거소송에서 부지 관련 판례 찾아줘,20,20,cnn,{},TRUE,
배전시설 제거재판 중 부지 관련 재판의 결과 보기,20,20,cnn,{},TRUE,
전력공급장치 철거소송 중 부지 관련 판례 찾기,20,20,cnn,{},TRUE,
전력공급시설 제거소송에서 부지 관련 판결 결과 보기,20,20,cnn,{},TRUE,
전력공급설비 철거 소송중 부지 관련 판례 검색해줘,20,20,cnn,{},TRUE,
전력배분시설 철거소송 중 부지와 관련된 재판례,20,20,cnn,{},TRUE,
전력배분장치 제거재판 중 부지 관련 판결 결과 보여줘,20,20,cnn,{},TRUE,
배전설비 철거소송 중 이설을 명령한?판례 찾아줘,20,20,cnn,{},TRUE,
배전시설 제거소송 중 이설을 선고한 판결례,20,20,cnn,{},TRUE,
배전장치 철거재판 중 이설을 명령한 선고문,20,20,cnn,{},TRUE,
전력공급시설 제거소송 중 이설을 명령한 판례 있나요?,20,20,cnn,{},TRUE,
전력공급설비 철거소송 중 이설을 명령한 판결문,20,20,cnn,{},TRUE,
전력공급장치 철거 소송 중 이설을 선고한 판례 찾기,20,20,cnn,{},TRUE,
무단시설 된 배전장치 관련 이설 명령한 판례문,20,20,cnn,{},TRUE,
해외로 택배 어떻게 보내?,21,21,cnn,{},TRUE,
미국으로 택배 보내려면 어떻게 해야되?,211,21,none,{},FALSE,
미국으로 택배 어떻게 보내?,211,21,none,{},FALSE,
영국으로 택배 어떻게 보내니?,21,21,cnn,{},TRUE,
영국으로 택배 어떻게 보낼 수 있어?,21,21,cnn,{},TRUE,
분실물건 찾을때 꼭 본인이 와야되나요,28,22,none,{},FALSE,
물건 수령하려면 내가 직접가느수밖에 없니?,22,22,cnn,{},TRUE,
유실물 수령 어디서 해?,22,22,cnn,{},TRUE,
유실물건 수령법 뭐잇니?,22,22,cnn,{},TRUE,
어떠케 찾을수있어? 유실물품,28,22,none,{},FALSE,
어떤 수법으로 유실물을 수령받을수있나요,22,22,cnn,{},TRUE,
택배로 유실물 전달 받을수잇니?,22,22,cnn,{},TRUE,
다른방법알려줘 유실물 돌려받는,22,22,cnn,{},TRUE,
유실물 수령받을때 어떻게 받아?,22,22,cnn,{},TRUE,
어떤 방법이있나요 분실물 수령시에,22,22,cnn,{},TRUE,
분실물품 돌려받을?? 사용수단 알려줘요,22,22,cnn,{},TRUE,
유실물 대리 수령해도 괜찮을지요?,22,22,cnn,{},TRUE,
분실물 돌려 받을 수 있음?,22,22,cnn,{},TRUE,
분실물 택배로 수령가능?,22,22,cnn,{},TRUE,
분실물은 어떻게 찾아옴?,22,22,cnn,{},TRUE,
분실물 퀵으로도 가능?,22,22,cnn,{},TRUE,
분실물 받는 거 택배로도 가능함?,22,22,cnn,{},TRUE,
분실물 받으려면?,22,22,cnn,{},TRUE,
분실물 퀵으로도 보내줌?,22,22,cnn,{},TRUE,
분실물 직접 받으러 못 갈 거 같은데,22,22,cnn,{},TRUE,
분실물 본인이 꼭 받으러 가야함?,28,22,none,{},FALSE,
출국할때 어또케하는거야 도시터미널,281,23,none,{},FALSE,
도심공항에서 짐 어떻게 부치니,281,23,none,{},FALSE,
도시터미널에서 수하물 부칠때 절차 머야,23,23,cnn,{},TRUE,
도시터미널 이용 노하우 있음?,289,23,none,{},FALSE,
어떤방식으로 이용해야 도심터미널을 잘이용하는건가,23,23,cnn,{},TRUE,
사용 순서같은거 이써? 도심공항,23,23,cnn,{},TRUE,
광명도심공항터미널 어케 이용하는지 설명해줘,289,23,none,{},FALSE,
도시터미널 이용각인데 어케쓰는지 멀라,23,23,cnn,{},TRUE,
도시공항터미널 잘이용하는 순서 알고싶어,23,23,cnn,{},TRUE,
어떻게 이용하면되나요 도심공항,23,23,cnn,{},TRUE,
삼성역도시공항터미널 이용 방식 어케되?,23,23,cnn,{},TRUE,
이용 절차가 달라? 도시공항 터미널,23,23,cnn,{},TRUE,
도심 공항에서 어떻게 체크인해요?,33,23,none,{},FALSE,
어디서 수하물 위탁해? 도심공항,24,23,none,{},FALSE,
도시공항터미널에서 어떻게 수하물 처리하니,281,23,none,{},FALSE,
도심공항 이용하려면 어떤 절차 필요해?,23,23,cnn,{},TRUE,
이용안내 해주세요 도심공항,23,23,cnn,{},TRUE,
도심 터미널 이용할때 지켜야할 절차 있나요,23,23,cnn,{},TRUE,
어떤 순으로 도심공항 이용할까?,23,23,cnn,{},TRUE,
도심터미널 이용할때 뭐부터 해야되지?,23,23,cnn,{},TRUE,
도심 공항 터미널 사용 과정 뭔가요,23,23,cnn,{},TRUE,
뭐부터 시작해야되는거니 도심 공항,23,23,cnn,{},TRUE,
보안검색 후 공항으로 이동하나요 도심공항,124,23,none,{},FALSE,
도시공하터미널 마지막 절차가 어떻게 되니,23,23,cnn,{},TRUE,
도심공항 첵인 후에 뭐하나요,23,23,cnn,{},TRUE,
분실?수하물?수취대는?티투?어디에?있나요?,24,24,cnn,{},TRUE,
티원에 있는?분실?수하물?수취대?위치?알려줘,24,24,cnn,{},TRUE,
T2에서?분실?수화물?찾으려면?어디로 가야해?,24,24,cnn,{},TRUE,
T2에서?잃어버린?짐?찾으려는데,28,24,none,{},FALSE,
제2여객터미널?어디로 가야?분실?수하물을?찾을?수?있나요?,24,24,cnn,{},TRUE,
분실?수하물?수취대?위치,24,24,cnn,{},TRUE,
잃어버린?수하물은?어디서?찾아,6,24,none,{},FALSE,
분실했던?수화물?어디가면?찾을?수 있을까?,6,24,none,{},FALSE,
분실한?수화물?받을?수 있는?곳?위치?알려줘,6,24,none,{},FALSE,
없어졌던?수화물?되돌려 받는?곳?어디로 가야할까?,6,24,none,{},FALSE,
분실?수화물?되찾는?곳?어떻게?가나요?,6,24,none,{},FALSE,
분실했던?수화물?찾을?수 있는?곳?위치?알려줘,6,24,none,{},FALSE,
분실?수화물?수취하는?곳?위치?보여줘,24,24,cnn,{},TRUE,
잃어버렸던?수화물?받아가는?데?알려주세요,6,24,none,{},FALSE,
분실했던?짐?찾아가는?제1여객 수취대?알려줘,24,24,cnn,{},TRUE,
어디서?분실했던?수화물?찾을?수?있어?,6,24,none,{},FALSE,
분실?수화물?찾아가는?곳?어디야?,6,24,none,{},FALSE,
분실수화물수취대는?제1터미널?어디에?있어요?,24,24,cnn,{},TRUE,
분실?화물수취대?제1여객 터미널?어디로 가야?찾을수있니?,24,24,cnn,{},TRUE,
내?잃어버린화물?찾으려면 어느?수취대로 가야해?,6,24,none,{},FALSE,
없어져버린내짐?받으러가는데?어디로 가죠?,28,24,none,{},FALSE,
분실했던?짐?찾는?곳?어딘가요?,6,24,none,{},FALSE,
캐리어?잃어버렸는데?수취대어디야,24,24,cnn,{},TRUE,
분실된짐수취대?어디야?티원,24,24,cnn,{},TRUE,
어디에서 되찾는거야?분실수화물,6,24,none,{},FALSE,
없어진화물어디서?수취하나요,24,24,cnn,{},TRUE,
분실수화물?수취창구?위치?알려줘,24,24,cnn,{},TRUE,
수하물?없어진거?어디?카운터로 가서?찾아?,6,24,none,{},FALSE,
분실화물?찾을창구?있어?,6,24,none,{},FALSE,
없어졌던 제?캐리어는?어디서?받아가죠?,24,24,cnn,{},TRUE,
분실?수화물?수취대는?어디쯤에?있죠?,24,24,cnn,{},TRUE,
분실수취대 어디야,24,24,cnn,{},TRUE,
도급받은 노동자의 낙하사고에 관해 소송한 판례를 알고싶습니다,25,25,cnn,{},TRUE,
도급노동자의 추락사고로 인해 소송까지 진행된 경우의 판례가 있나요?,25,25,cnn,{},TRUE,
도급노동자 낙하사고와 관련하여 벌인 소송의 판결 사례를 보고싶어요,25,25,cnn,{},TRUE,
도급추락 사고 피해를 이유로 소송이 걸린 경우 그 결과를 찾아줘,25,25,cnn,{},TRUE,
도급낙하로 사고 발생시 제기된 소의 판례는 무엇이 있나요?,25,25,cnn,{},TRUE,
도급추락으로 인해 입은 손해때문에 청구된 모든 소송관련 판례들을 알려줘,25,25,cnn,{},TRUE,
도급추락사고 소송 판례 중 헌법에 위배되는 것이 있나요?,25,25,cnn,{},TRUE,
도급추락 사고 소송 판례 중 판례 변경 사례에 대해 알려주세요,25,25,cnn,{},TRUE,
청부받아 발생한 낙하사고 피해와 관련있는 소송의 판결 결과를 보여줘,25,25,cnn,{},TRUE,
청부받아 벌어진 추락사고 책임에 대한 소송 및 판례를 찾아줘,25,25,cnn,{},TRUE,
도급추락 사고때문에 발생한 피해 책임에 대한 재판의 결과를 알고싶어,25,25,cnn,{},TRUE,
도급낙하 사고와 관련된 소송 중 기각 판례가 있나요?,25,25,cnn,{},TRUE,
도급추락 사고에 연관되어 있는 재판 결과 중 기각 판례가 있나요?,25,25,cnn,{},TRUE,
도급낙하 사고 발생시 배상금액에 대한 소송 판례가 있나요?,25,25,cnn,{},TRUE,
도급추락 사고의 발생에 관한 소송 중 배상율에 관한 판례를 보고싶습니다,25,25,cnn,{},TRUE,
도급낙하 사고로 인해 소송을 준비중인데 관련 판례를 다 보여줘,25,25,cnn,{},TRUE,
도급추락 사고의 범위에 관해 규정된 소송의 판례를 찾아줘,25,25,cnn,{},TRUE,
도급추락 사고 재해 인정범위가 적시된 소송의 판례를 검색해줘,25,25,cnn,{},TRUE,
도급추락 사고로 재판이 열린 경우 그 판결 결과에 대해 알려주세요,25,25,cnn,{},TRUE,
도급낙하 사고로 입은 피해로 제기된 모든 관련 소송 판례를 알려줘,25,25,cnn,{},TRUE,
얼마나 많은 닝겐들이 제일출국장에 있니,26,26,cnn,{},TRUE,
제이터미널 혼잡현황 궁그매,26,26,cnn,{},TRUE,
출국장 얼마나 정신없어?,26,26,cnn,{},TRUE,
오늘 출국장 한산하려나?,26,26,cnn,{},TRUE,
지금 출국장 이용 원활하니?,26,26,cnn,{},TRUE,
출국장 이용객 어느정도 야?,26,26,cnn,{},TRUE,
출국장에 사람 우글우글한가,26,26,cnn,{},TRUE,
출국할때?사람많아서 오래 걸리려나?,26,26,cnn,{},TRUE,
출국장에 얼마나많은 사람들이 쓰는지 알려줘,26,26,cnn,{},TRUE,
출국장 이용객수 어케되니,26,26,cnn,{},TRUE,
얼마나 많은 사람들이 출국장에 있는지 보여줘,26,26,cnn,{},TRUE,
출국장 많이 정신없니?,26,26,cnn,{},TRUE,
오늘 출국하러 온 사람들 많은편이야? ,26,26,cnn,{},TRUE,
출국장에 피플 많이있나요?,26,26,cnn,{},TRUE,
현재 혼잡한지 한산한지 알려줘 출국장,26,26,cnn,{},TRUE,
사람들 많이 와있나요 출국장에,26,26,cnn,{},TRUE,
출국장 이용하려는데 사람들 얼마나와있어?,26,26,cnn,{},TRUE,
이용객 수 알려줘요 출국장,26,26,cnn,{},TRUE,
시간당 승객수 알려줘 출국장에,26,26,cnn,{},TRUE,
출국장 혼잡도 보통이야?,26,26,cnn,{},TRUE,
매우 혼잡한 상황이니 ? 출국하는곳,26,26,cnn,{},TRUE,
인천공항 사람 다소,1,26,none,{},FALSE,
인천공항 사람 밀집도 파악,1,26,none,{},FALSE,
인천공항에 사람 많지?,26,26,cnn,{},TRUE,
절차적 타당성 없는 변상금부과청구소송 관련 판례,27,27,cnn,{},TRUE,
내용상 하자있는 변상금부과청구소송 관련 판례,27,27,cnn,{},TRUE,
변상금청구소송의 법적근거에 대해 다툰 판례,27,27,cnn,{},TRUE,
변상금청구소송에서 변상금 산출기준이 잘못된 경우,27,27,cnn,{},TRUE,
형평성이 어긋난 변상금부과청구소송의 판례,27,27,cnn,{},TRUE,
적용법률의 착오로 인한 변상금부과청구소송에 대한 판례,27,27,cnn,{},TRUE,
소송요건의 미비로 변상금부과청구소송 각하한 판례,27,27,cnn,{},TRUE,
국유지 무상점유에 대한 변상금부과처분소송 판례,58,27,none,{},FALSE,
정당한 사유없는 변상금부과처분소송에 대한 판례,27,27,cnn,{},TRUE,
절차에 흠결이 있는 변상금부과처분소송 관련 판례,27,27,cnn,{},TRUE,
변상금부과처분소송에서 점유취득시효에 대해 논한 판례,27,27,cnn,{},TRUE,
변상금부과처분소송에서 취득시효 가능대상에 대해 명시한 판례,58,27,none,{},FALSE,
취득시효 당사자 관련 변상금부과처분소송 판례,58,27,none,{},FALSE,
토지 일부에 대한 취득시효 관련 변상금부과처분소송 판례,27,27,cnn,{},TRUE,
점유취득시효 요건에 대해 판단한 변상금부과처분소송 판례,27,27,cnn,{},TRUE,
변상액 부과요율에 대해 명시한 변상금부과처분소송 판례문,27,27,cnn,{},TRUE,
무단사용으로 평등의 원칙에 위배하여 변상금부과처분소송 청구한 경우 판례,58,27,none,{},FALSE,
변상금부과처분은 행정소송의 대상이 되나요?,58,27,none,{},FALSE,
변상금부과처분소송의 요건이 되기위한 소멸시효 기간은?,58,27,none,{},FALSE,
습득한?물건?주인?찾아주고싶은데?어디부터가야해?,28,28,cnn,{},TRUE,
잃어?버린?물건?다시?찾는?과정,28,28,cnn,{},TRUE,
잃어버린?물건?주인이?안나타나면?,28,28,cnn,{},TRUE,
분실한?물건?어디서?처리해?,28,28,cnn,{},TRUE,
유실물?주으면?어떻게?되는거야?,28,28,cnn,{},TRUE,
유실물?관리센터에서?처리되는?과정?알고?싶어,28,28,cnn,{},TRUE,
분실물?주인?찾아주는?방법,28,28,cnn,{},TRUE,
어떻게?처리해??분실물,28,28,cnn,{},TRUE,
분실물?관리?절차는?어떻게?되나요?,28,28,cnn,{},TRUE,
물건습득,28,28,cnn,{},TRUE,
물건?주웠어요,28,28,cnn,{},TRUE,
유실물?신고?후?어떻게?되는거지,28,28,cnn,{},TRUE,
공항유실물들?들어오면?어떻게?해?,22,28,none,{},FALSE,
분실물?습득시에?어떤?절차를?거쳐야해?,28,28,cnn,{},TRUE,
해결방법?알려줘?습득물건,28,28,cnn,{},TRUE,
누가?잃어버린?물건?주으면?어떻게?하지?,28,28,cnn,{},TRUE,
유실물 처리 과정,28,28,cnn,{},TRUE,
분실물 처리 절차,28,28,cnn,{},TRUE,
여객터미널에서?물건?분실하면?어디에?문의해?,28,28,cnn,{},TRUE,
여객?터미널에서?물건?잃어버린 경우?문의처는?,28,28,cnn,{},TRUE,
터미널에서?물품?분실했어,28,28,cnn,{},TRUE,
여객터미널에서?물건?잃어버렸을 때는 어떡하나요?,28,28,cnn,{},TRUE,
터미널투에서?소지품?없어졌는데?관리소?알려줘,28,28,cnn,{},TRUE,
터미널부근의?분실물?문의소?알려줄래,28,28,cnn,{},TRUE,
제1여객터미널에서?물건잃어버렸어?어디에?문의해?,28,28,cnn,{},TRUE,
터미널쪽에서?물건분실하면?어디에?연락해?,28,28,cnn,{},TRUE,
여객터미널에서?물건?없어지면?어디에서?찾아?,28,28,cnn,{},TRUE,
여객터미널에서 발견된?유실물은?어디다?문의하나요?,28,28,cnn,{},TRUE,
탑승동에서?물건?분실시?어디로?연락해야돼요?,28,28,cnn,{},TRUE,
탑승동에서?물건?분실하면?어디에?문의해?,28,28,cnn,{},TRUE,
탑승동에서?제품을?잃어버렸어요,28,28,cnn,{},TRUE,
탑승동에서?분실된?물건은?어디로 가나요?,28,28,cnn,{},TRUE,
교통센터에서?물건?분실시?어디다가?문의하나요?,28,28,cnn,{},TRUE,
교통센터에서?잃어버린?물건은?어디서?찾을?수 있을까?,159,28,none,{},FALSE,
교통지역에서?물건잃어버리면?어디서 관리해?,28,28,cnn,{},TRUE,
교통센터에서?분실했을 때?어디다?전화해야하나요,28,28,cnn,{},TRUE,
커브사이드에서?물건을?분실했어요,28,28,cnn,{},TRUE,
분실물?생겼어요?커브사이드에서,22,28,none,{},FALSE,
주차장에서?물건?잃어버렸는데?어디다가?문의하면돼?,28,28,cnn,{},TRUE,
주차장에서?물건을?잃어버렸는데?어떡하지?,260,28,none,{},FALSE,
단기주차장에서?분실한?물건?어디에?문의하나요,159,28,none,{},FALSE,
주차장쪽?유실물관련?문의소?알려줘요,260,28,none,{},FALSE,
밤늦게에도 셔틀버스 운행하나요?,29,29,cnn,{},TRUE,
새벽에도 돌아댕기니? 무료순환버스,29,29,cnn,{},TRUE,
운행 시간이 언제까지야?,29,29,cnn,{},TRUE,
무료셔틀셔틀운행 언제 마감합니까?,29,29,cnn,{},TRUE,
운행시간 끝났나요? 셔틀,29,29,cnn,{},TRUE,
순환버스 아직 운행하고있어?,29,29,cnn,{},TRUE,
밤열시넘어서도 탈수있나요 순환셔틀?,29,29,cnn,{},TRUE,
셔틀 새벽4시에도 탈수있어요?,29,29,cnn,{},TRUE,
셔틀버스 다니는 운행시간대 알려줘,29,29,cnn,{},TRUE,
셔틀 운행하는 시간 알려주세여,29,29,cnn,{},TRUE,
제일여객 막차시간알려줘 셔틀,29,29,cnn,{},TRUE,
첫차 시작시간 알고싶어 셔틀,29,29,cnn,{},TRUE,
마지막 셔틀출발시간 몇시?,29,29,cnn,{},TRUE,
티투셔틀 몇시부터 다니기 시작하나요?,29,29,cnn,{},TRUE,
오전6시에 셔틀타고 이동가능해?,179,29,none,{},FALSE,
운행사이간격이 길어? 셔틀,29,29,cnn,{},TRUE,
여개터미널행 셔틀 운행표 알고싶어,19,29,none,{},FALSE,
순환버스 언제부터 타지?,29,29,cnn,{},TRUE,
10분마다 다시 오는거야? 무료순환버스,65,29,none,{},FALSE,
셔틀 운행할때 시간간격이 어케되죠,29,29,cnn,{},TRUE,
제일공항에서 출발하는 셔틀 처음시간 어케되,29,29,cnn,{},TRUE,
제이여객에서 셔틀언제 시작하나요?,29,29,cnn,{},TRUE,
운행할때 소요시간 어케되니,29,29,cnn,{},TRUE,
마지막 운행시간이 어떻게 되니,29,29,cnn,{},TRUE,
배차간격이 오래 걸리나요? 셔틀,65,29,none,{},FALSE,
셔틀은 언제 출발합니까?,29,29,cnn,{},TRUE,
1터미널 셔틀 버스 시간표 알려줘,29,29,cnn,{},TRUE,
순환버스 시간표 ,29,29,cnn,{},TRUE,
셔틀버스 막차 시간 알려줘,29,29,cnn,{},TRUE,
셔틀버스 터미널 떠나는 시간은?,29,29,cnn,{},TRUE,
순환버스 터미널에서 출발은 몇 시에?,29,29,cnn,{},TRUE,
지금 제일 빨리 도착하는 셔틀버스는 몇 분인데?,29,29,cnn,{},TRUE,
오늘 마지막 셔틀버스 지나갔을까?,65,29,none,{},FALSE,
순환도는 버스 언제 오나요?,29,29,cnn,{},TRUE,
셔틀버스 도착하려면 몇 분 남았을까?,159,29,none,{},FALSE,
차세대 아이디 오류를 해결하고 싶어,30,30,cnn,{},TRUE,
차세대 ID는 어떤 식으로 발급하는 거야?,30,30,cnn,{},TRUE,
차세대 ID 만드는 방식이 어떻게 되죠?,30,30,cnn,{},TRUE,
차세대 아이디 오류가 자꾸 발생해요,30,30,cnn,{},TRUE,
어떻게 차세대 아이디를 발급받지?,30,30,cnn,{},TRUE,
차세대 아이디 만드는 절차를 설명해줘,30,30,cnn,{},TRUE,
합법적이지 않은 토지보상금에 대해 토지보상금청구소송을 진행한 사례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 증액에 대해 논한 판례,31,31,cnn,{},TRUE,
소유하고 있던 토지를 타인에게 허가할 때 금전적은 보상을 요구할 수 있나요?,176,31,none,{},FALSE,
국가를 대상으로 토지보상금청구소송을 진행한 판례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 과거에 받지 못한 보상금을 청구한 사례,31,31,cnn,{},TRUE,
토지보상금청구소송에서 미지급 건에 대해 논한 판례,31,31,cnn,{},TRUE,
토지보상금청구소송 결과에 대해 이의신청을 할 수 있어?,31,31,cnn,{},TRUE,
토지소유권 위임으로 인한 토지보상금청구소송 판례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 토지를 매각하여 소송을 청구한 사례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 법원의 결정에 불복할 경우에는 어떻게 되나요?,31,31,cnn,{},TRUE,
소유지가 국유지로 변경되는 경우의 토지보상금청구소송 판례,31,31,cnn,{},TRUE,
회사를 대상으로 한 토지보상금청구소송 사례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 건설업체와 관련 된 내용 보여줘,31,31,cnn,{},TRUE,
토지보상금청구소송에서 증여된 토지에 대해 논한 사례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 원고의 청구가 모두 인용된 판례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 대표적인 패소 사례에 대해 알려줘,31,31,cnn,{},TRUE,
토지보상금청구소송에서 원고가 승소한 판례,31,31,cnn,{},TRUE,
토지보상금청구소송 중 보상금 증액을 요청한 판례,31,31,cnn,{},TRUE,
토지보상금에 대한 갈등을 해결하기 위한 청구소송이 무엇인가요?,31,31,cnn,{},TRUE,
토지보상금청구소송 중 세금에 대해 논한 사례,31,31,cnn,{},TRUE,
법률적용에 착오있는 허가반려처분취소소송 관련 판례 보기,32,32,cnn,{},TRUE,
법령 악용으로 인한 허가반려처분에 대해 취소소송 청구한 경우 판례문 보여줘,32,32,cnn,{},TRUE,
허가반려처분취소소송의 소송요건 미비로 각하된 판례는?,32,32,cnn,{},TRUE,
허가반려처분취소소송에서 형평성에 대해 서술한 대법원 판례 보여줘,32,32,cnn,{},TRUE,
공익성을 다툰 허가반려처분취소소송 관련 대법원 판례 찾아줘,32,32,cnn,{},TRUE,
허가반려처분취소소송의 절차 관련 대법원 판례 있나요?,32,32,cnn,{},TRUE,
행정청의 재량범위에 대해 명시한 대법원 판례 찾아주세요,278,32,none,{},FALSE,
원인관계에 대한 허가반려처분취소소송 대법원 판례 보기,32,32,cnn,{},TRUE,
절차의 오류있는 허가반려처분취소소송 관련 대법원 판례문 보기,32,32,cnn,{},TRUE,
허가반려처분취소소송에서 직권남용에 대해 다툰 대법원 판례 알려줘,32,32,cnn,{},TRUE,
법령 적용에 오류있는 허가반려처분취소소송 관련 대법원 판례 검색하기,32,32,cnn,{},TRUE,
허가반려처분취소소송에서 행정청의 재량권 관련 대법원 판례 보여줘,32,32,cnn,{},TRUE,
허가반려처분취소소송의 비례의 원칙 관련 대법원 판례 알려주세요,32,32,cnn,{},TRUE,
허가반려처분취소소송의 소송요건에 대한 대법원 판례 검색해줘,32,32,cnn,{},TRUE,
허가반려처분취소소송에서 허가반려처분 기준에 대해 명시한 대법원 판례 보기,32,32,cnn,{},TRUE,
공익성에 대해 판단한 허가반려처분취소소송 관련 대법원 판례문 검색해줘,32,32,cnn,{},TRUE,
법률상 이익에 대해 다툰 허가반려처분취소소송 판례 있나요?,32,32,cnn,{},TRUE,
허가반려처분취소소송에서 허가반려처분이 인용되기 위한 조건은?,32,32,cnn,{},TRUE,
대법원 판례 중 허가반려처분의 합리적 사유에 대해 명시한 사례 보여줘,32,32,cnn,{},TRUE,
도시터미널에서 인천까지 가는 개이득방법 알려줘,33,33,cnn,{},TRUE,
도시터미널에서 인천공항가는버스있는거 실화냐,33,33,cnn,{},TRUE,
도심?點六【? 인천까지 셔틀버스 있음?,33,33,cnn,{},TRUE,
도시공항에서 인천공항까지 가는 지하철있어?,33,33,cnn,{},TRUE,
도시터미널출발인천도착 버스 알랴줘,33,33,cnn,{},TRUE,
도심공항출발 인천공항도착 방법,33,33,cnn,{},TRUE,
도심공항터미널인데 어떻게 인천까지 갈수있냐,33,33,cnn,{},TRUE,
나 서울도심공항이거든 인천까지가는방법 탐색해바,33,33,cnn,{},TRUE,
광명도시터미널에서 한방에 인천공항까지 가는방법,33,33,cnn,{},TRUE,
도시터미널 공항에서 공항으로 갈래,33,33,cnn,{},TRUE,
도심터미널에서 직항교통수단 있어? 공항까지?,33,33,cnn,{},TRUE,
어떻게 가는게 빠를까 삼성역 도심공항터미널에서 공항까지,33,33,cnn,{},TRUE,
도시공항이용후에 인천으로 이동하기,33,33,cnn,{},TRUE,
도심공항터미널 수속후에 인천공항가기,33,33,cnn,{},TRUE,
도시공항 터미널 이용하고서 인천 까지 가려고,33,33,cnn,{},TRUE,
어떻게 가는건지 알려줘 공항까지 도시공항에서,33,33,cnn,{},TRUE,
도심공항터미널에서 인천까지 한방에 가는 수단있나?,33,33,cnn,{},TRUE,
도시 공항터미널에서 인천공항 갈때 뭐타고 갈까?,33,33,cnn,{},TRUE,
공항까지 도착하는 방법 도시터미널에서,33,33,cnn,{},TRUE,
도심공항에서 인천까지 도달하는 방법알려줘요,33,33,cnn,{},TRUE,
이동할려고 도시터미널에서인천,33,33,cnn,{},TRUE,
광명도심공항에서 인천공항가려고 하는데요,33,33,cnn,{},TRUE,
도심공항터미널서울에서 인천공항 이동 방법 ?o미,33,33,cnn,{},TRUE,
도시터미널에서 뱅기타러 어떻게 가?,23,33,none,{},FALSE,
비행기탑승하려면 도심공항에서 어떻게 가나,23,33,none,{},FALSE,
잘못된 행정절차를 이유로 실시계획승인무효확인소송 제기한 경우의 판례,34,34,cnn,{},TRUE,
